"ID","VLINDER","lat","lon","water20","verhard20","groen20","water50","verhard50","groen50","water100","verhard100","groen100","water250","verhard250","groen250","water500","verhard500","groen500","stad","benaming","school","sponsor"
"hI1sYgmyyHsY74OKORcVjgIH","vlinder47","51.221908","5.396069","0.000000","0.396648","0.603352","0.000000","0.634801","0.365199","0.000382","0.799440","0.200178","0.000876","0.871373","0.127751","0.005597","0.743338","0.251065","Pelt","Nolimpark","VOX Atheneum","Brabantia"
"yne5qgw98kSGqMNk2hHRHEgX","vlinder48","51.167100","4.190600","0.000000","0.065008","0.934992","0.000000","0.170175","0.829825","0.000000","0.113337","0.886663","0.000000","0.108311","0.891684","0.080772","0.093116","0.826112","Sint-Niklaas","Ster","VTS","Stad Sint-Niklaas"
"V0Vrych4WeZJXlx9HnEzrtdB","vlinder49","51.165014","4.146297","0.000000","0.117647","0.882353","0.000000","0.576375","0.423625","0.000000","0.745911","0.254089","0.002119","0.740806","0.257075","0.004440","0.750934","0.244626","Sint-Niklaas","Centrum","Berkenboom","Stad Sint-Niklaas"
"EpYBjkKLsYyRErDGstWeFI3A","vlinder50","50.817338","5.188869","0.000000","0.378727","0.621273","0.000000","0.805591","0.194409","0.000000","0.838319","0.161681","0.000000","0.762983","0.237017","0.001396","0.717858","0.280747","Sint-Truiden","Abdij","Hasp-O-Centrum","Milieuraad Sint-Truiden"
"DqtAUxOaYtpvQev7UdLAGni5","vlinder51","50.743256","5.226407","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.062176","0.937824","0.000000","0.029885","0.970115","0.000000","0.048171","0.951829","Gingelom","Boekhout","Het Kompas","Milieuraad Sint-Truiden"
"CRjDzKhYB7Q0yrBMsvYrOABc","vlinder52","50.997417","3.328104","0.000000","0.065235","0.934765","0.000000","0.442322","0.557678","0.000000","0.707962","0.292038","0.000000","0.685463","0.314537","0.000131","0.652394","0.347475","Tielt","Centrum","VTI","stad Tielt"
"8NZZfd5wtnSZAJSABVLd4hA1","vlinder53","50.979972","3.358833","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.087347","0.912653","0.000000","0.071606","0.928394","0.000569","0.068015","0.931416","Tielt","Poelberg","VTI","Stadlandschap West-Vlaamse Hart"
"dIo3hFEg7DeF32Nj9fqUoDcp","vlinder54","50.810032","4.940457","0.000000","0.225397","0.774603","0.000000","0.411405","0.588595","0.000000","0.636615","0.363385","0.000000","0.734503","0.265497","0.000000","0.738824","0.261176","Tienen","Centrum","VIA","stad Tienen"
"IAKRIUlMMP39zdbXNEbCW3Re","vlinder55","51.077740","2.560609","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000732","0.999268","0.000000","0.101821","0.898179","0.070176","0.047183","0.845591","De Panne","De Westhoek","GO! Ath. Veurne","Gemeente De Panne"
"zdaMx592RdPfr5bHa8h8bu4W","vlinder56","51.201971","4.772456","0.000000","0.000000","1.000000","0.000000","0.210232","0.789768","0.000000","0.565750","0.434250","0.000265","0.698194","0.301541","0.002694","0.553196","0.444110","Vorselaar","Klooster","Thomas More","Gemeente Vorselaar"
"yig7e7HGi27NcwzIOgcvhBC2","vlinder57","51.198930","3.814217","0.058214","0.000000","0.941786","0.009291","0.134021","0.856688","0.002324","0.493203","0.504473","0.000372","0.694150","0.305478","0.000093","0.637561","0.362346","Zelzate","Centrum","GO! Atheneum","North Sea Port"
"S1cUFJPTdRN13R1eTiXoH77C","vlinder58","51.207515","3.803448","0.000000","0.359586","0.640414","0.223425","0.156206","0.620369","0.362354","0.098014","0.539632","0.534484","0.186599","0.278917","0.248244","0.269901","0.411365","Zelzate","Haven","Sint-Laurens","Rain Carbon"
"lOM9ntUwfV7154olxq9ylQcC","vlinder59","50.980438","3.815763","0.000000","0.085851","0.914149","0.000000","0.055994","0.944006","0.000000","0.051409","0.948591","0.000000","0.068036","0.931964","0.000924","0.102948","0.896127","Melle","Proefhoeve 2","UGent","Universiteit Gent"
"ULRkNeA9OIT41itKx9ArGEwP","vlinder60","50.846390","2.883056","0.035658","0.124406","0.839937","0.288878","0.279969","0.431153","0.336346","0.397855","0.265799","0.178850","0.359019","0.462131","0.091009","0.572658","0.336333","Ieper","Vesten","Consortium Ieper","Stad Ieper"
"l7rFOO2GjgOciJAKIhm8mVZV","vlinder61","51.208700","3.452800","0.000000","0.343499","0.656501","0.000000","0.321133","0.678867","0.000000","0.492099","0.507901","0.000357","0.464509","0.535134","0.000379","0.487428","0.512192","Maldegem","Courtmanslaan","GO! Atheneum","Gemeente Maldegem"
"ALg8aViYNhDHRgwIW7ZB9l1y","vlinder62","50.768418","3.868854","0.000000","0.618727","0.381273","0.000000","0.508209","0.491791","0.000000","0.510707","0.489293","0.000644","0.554326","0.445030","0.010542","0.510674","0.478783","Geraardsbergen","Centrum","Koninklijk Atheneum","SOLVA"
"hnc0YxKu18Jw7OdqhA3g5Pyc","vlinder63","51.031700","4.494100","0.000000","0.407080","0.592920","0.000000","0.579418","0.420582","0.000000","0.710212","0.289788","0.000000","0.701695","0.298305","0.020348","0.586836","0.392816","Mechelen","Nekkerspoel","BA Nekkerspoel","Stad Mechelen"
